text,emotion
I feel so joyful and excited today,Happy
I am grateful and cheerful this morning,Happy
Everything is making me cry and I feel down,Sad
I feel lonely and empty tonight,Sad
I am furious and annoyed at everyone,Angry
I am really mad about what happened,Angry
I need a push to stay focused for exams,Motivational
Help me keep grinding and chasing goals,Motivational
I am anxious and scared about tomorrow,Fear
My panic is rising and I feel unsafe,Fear
I feel hopeless and numb all day,Depressing
Nothing feels meaningful and I am sinking,Depressing
Wow I did not expect this and I am shocked,Surprising
This is so unexpected and surprising,Surprising
I am overwhelmed with work and pressure,Stressed
I feel burnt out and stressed badly,Stressed
I feel peaceful and relaxed tonight,Calm
My mind is serene and calm right now,Calm
I miss people and feel isolated,Lonely
Being alone all day makes me lonely,Lonely
I am in love and feeling romantic,Romantic
Date night mood and romantic feelings,Romantic
These old songs bring back memories,Nostalgic
I am nostalgic for my childhood days,Nostalgic
I feel many things at once and cannot explain,Mixed
My emotions are mixed and confusing today,Mixed
